0.072	-0.03640	-1.01024	-13.96685	0.01841	0.51053	7.01078	0.00985	0.27368	3.79481	0.00488	0.13569	1.89320	0.00252	0.07003	0.98207	
0.073	-0.03741	-1.02421	-13.96230	0.01893	0.51754	7.00513	0.01013	0.27747	3.79436	0.00502	0.13758	1.89381	0.00259	0.07101	0.98274	
0.074	-0.03844	-1.03817	-13.95756	0.01945	0.52454	6.99924	0.01041	0.28127	3.79390	0.00516	0.13948	1.89444	0.00266	0.07199	0.98343	
0.075	-0.03949	-1.05212	-13.95263	0.01998	0.53154	6.99311	0.01069	0.28506	3.79342	0.00530	0.14137	1.89510	0.00273	0.07298	0.98416	
0.076	-0.04055	-1.06607	-13.94750	0.02051	0.53853	6.98673	0.01098	0.28885	3.79292	0.00544	0.14327	1.89579	0.00280	0.07396	0.98491	
0.077	-0.04162	-1.08002	-13.94217	0.02105	0.54551	6.98009	0.01127	0.29264	3.79240	0.00558	0.14516	1.89650	0.00288	0.07495	0.98570	
0.078	-0.04271	-1.09396	-13.93662	0.02160	0.55249	6.97320	0.01157	0.29644	3.79185	0.00573	0.14706	1.89725	0.00295	0.07593	0.98651	
0.079	-0.04381	-1.10789	-13.93086	0.02216	0.55946	6.96604	0.01186	0.30023	3.79129	0.00588	0.14896	1.89802	0.00303	0.07692	0.98736	
0.080	-0.04492	-1.12182	-13.92487	0.02272	0.56642	6.95860	0.01217	0.30402	3.79071	0.00603	0.15086	1.89882	0.00311	0.07791	0.98824	
0.081	-0.04605	-1.13574	-13.91867	0.02329	0.57338	6.95088	0.01247	0.30781	3.79010	0.00618	0.15276	1.89965	0.00319	0.07890	0.98915	
0.082	-0.04720	-1.14966	-13.91222	0.02387	0.58032	6.94288	0.01278	0.31160	3.78947	0.00633	0.15466	1.90051	0.00327	0.07989	0.99010	
0.083	-0.04835	-1.16356	-13.90555	0.02445	0.58726	6.93458	0.01309	0.31539	3.78881	0.00649	0.15656	1.90140	0.00335	0.08088	0.99108	
0.084	-0.04952	-1.17747	-13.89863	0.02504	0.59419	6.92598	0.01341	0.31918	3.78814	0.00665	0.15846	1.90233	0.00343	0.08187	0.99209	
0.085	-0.05071	-1.19136	-13.89146	0.02564	0.60111	6.91707	0.01373	0.32297	3.78743	0.00681	0.16036	1.90329	0.00351	0.08286	0.99315	
